epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8879.96,1.4,1.74265,1.47901,0.02303,0.12427,0.00944,0.00283,2.70751,4.04004,2.51052,0.000396265,0.000396265,0.000396265
43,9087.77,1.47328,1.66614,1.43296,0.01961,0.06511,0.01029,0.00285,2.70786,4.20211,2.50192,0.000389661,0.000389661,0.000389661
44,9294.94,1.42075,1.65194,1.46051,0.01728,0.03892,0.01119,0.00332,2.74946,3.74839,2.63312,0.000383058,0.000383058,0.000383058
45,9498.15,1.2722,1.50733,1.396,0.02708,0.04945,0.01089,0.00325,2.71478,3.6882,2.64228,0.000376455,0.000376455,0.000376455
46,9702.12,1.22189,1.41982,1.38114,0.03576,0.03892,0.01483,0.00417,2.78164,3.5835,2.65319,0.000369851,0.000369851,0.000369851
47,9904.31,1.28468,1.54851,1.39328,0.15604,0.06877,0.02743,0.01091,2.84397,3.62339,2.82637,0.000363248,0.000363248,0.000363248
48,10109,1.25986,1.46687,1.36217,0.08442,0.07564,0.04428,0.02218,2.77183,3.76368,2.84222,0.000356645,0.000356645,0.000356645
49,10312.9,1.26741,1.59169,1.43657,0.03472,0.09879,0.01269,0.00405,2.74565,3.75737,2.81079,0.000350042,0.000350042,0.000350042
50,10516.8,1.28473,1.52389,1.35424,0.03794,0.0293,0.0137,0.00388,2.7657,3.90715,2.79631,0.000343438,0.000343438,0.000343438
51,10722,1.24322,1.35172,1.39338,0.09309,0.02518,0.014,0.00346,2.82696,3.87767,2.75482,0.000336835,0.000336835,0.000336835
52,10927.9,1.26093,1.65722,1.42444,0.09782,0.03755,0.03109,0.00598,2.86683,3.63217,2.8232,0.000330232,0.000330232,0.000330232
53,11132,1.14004,1.3668,1.30763,0.1252,0.05057,0.03425,0.00782,2.91347,3.71046,2.85977,0.000323628,0.000323628,0.000323628
54,11336.4,1.24344,1.30473,1.37231,0.15439,0.12752,0.03228,0.00527,2.96969,3.90271,2.93873,0.000317025,0.000317025,0.000317025
55,11541.7,1.26631,1.46933,1.31414,0.01589,0.11882,0.00897,0.00266,2.95383,4.12589,2.93563,0.000310422,0.000310422,0.000310422
56,11745.8,1.18364,1.2987,1.33593,0.03806,0.10824,0.00899,0.00255,2.87798,3.99268,2.84877,0.000303818,0.000303818,0.000303818
57,11951.8,1.07007,1.17843,1.25593,0.0161,0.06648,0.0064,0.00214,2.85477,3.98502,2.83002,0.000297215,0.000297215,0.000297215
58,12156.6,1.12068,1.26251,1.27126,0.01582,0.01236,0.0057,0.00193,2.83585,4.02842,2.82773,0.000290612,0.000290612,0.000290612
59,12367.4,1.17497,1.76827,1.36647,0.02078,0.01236,0.00806,0.00242,2.87727,3.9736,2.84093,0.000284009,0.000284009,0.000284009
60,12582.1,1.14246,1.42441,1.33926,0.0185,0.0206,0.00715,0.0023,2.87632,3.9694,2.86951,0.000277405,0.000277405,0.000277405
61,12793,1.10261,1.32779,1.3278,0.02168,0.02473,0.00818,0.0028,2.83688,4.00054,2.83153,0.000270802,0.000270802,0.000270802
62,13002.5,1.10032,1.17836,1.28892,0.01493,0.01648,0.00836,0.00295,2.78242,3.96826,2.77927,0.000264199,0.000264199,0.000264199
63,13214.7,1.08222,1.37249,1.31639,0.04179,0.06511,0.01435,0.00557,2.79245,3.98103,2.80184,0.000257595,0.000257595,0.000257595
64,13431.9,1.07332,1.16172,1.26845,0.04829,0.06786,0.01729,0.00645,2.83152,3.91469,2.83865,0.000250992,0.000250992,0.000250992
65,13643.1,0.9946,1.04387,1.22582,0.04661,0.07839,0.01526,0.0058,2.88747,3.94104,2.84724,0.000244389,0.000244389,0.000244389
66,13861.7,1.0142,1.096,1.21295,0.0254,0.06923,0.01339,0.0058,2.79395,4.08319,2.81567,0.000237785,0.000237785,0.000237785
67,14072.7,0.98627,1.08519,1.22681,0.00832,0.23095,0.01264,0.00431,2.7918,4.11918,2.78721,0.000231182,0.000231182,0.000231182
68,14283.3,1.00222,1.02938,1.17532,0.01459,0.0206,0.01048,0.00327,2.81422,3.92594,2.74797,0.000224579,0.000224579,0.000224579
69,14493.8,0.9948,1.0154,1.1922,0.03036,0.0404,0.01056,0.00301,2.93582,3.90121,2.76151,0.000217976,0.000217976,0.000217976
70,14705.8,0.92503,1.07644,1.16565,0.04858,0.07005,0.01721,0.00376,3.00139,4.06727,2.77533,0.000211372,0.000211372,0.000211372
71,14933.4,0.98662,1.01286,1.21257,0.0524,0.0522,0.01554,0.00326,2.98289,4.07015,2.82447,0.000204769,0.000204769,0.000204769
72,15172.8,0.99453,1.00088,1.21257,0.03104,0.04304,0.0115,0.00289,2.95859,4.01352,2.88137,0.000198166,0.000198166,0.000198166
73,15397.1,1.03945,1.04052,1.22083,0.02978,0.03663,0.01184,0.00325,2.91274,3.87995,2.90075,0.000191562,0.000191562,0.000191562
74,15631.6,0.96061,0.99596,1.19883,0.03069,0.05128,0.01303,0.00359,2.90389,3.9009,2.92299,0.000184959,0.000184959,0.000184959
75,15866.6,0.88606,0.91031,1.09356,0.02104,0.01923,0.01065,0.00325,2.92199,3.81819,2.90396,0.000178356,0.000178356,0.000178356
76,16094.9,0.98217,1.05405,1.20353,0.02162,0.0206,0.0092,0.00236,2.86898,3.82532,2.8399,0.000171752,0.000171752,0.000171752
77,16316.5,0.87164,0.94831,1.16763,0.03303,0.01511,0.009,0.00259,2.83446,3.85264,2.7642,0.000165149,0.000165149,0.000165149
78,16526,0.94389,1.02026,1.17325,0.0247,0.02473,0.00856,0.00272,2.80415,3.97617,2.74378,0.000158546,0.000158546,0.000158546
