epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1164,2.72814,4.8922,2.3445,0.00586,0.12486,0.00751,0.00244,2.74117,4.57711,2.4884,8.004e-05,8.004e-05,8.004e-05
2,60.3653,2.56236,4.66968,2.20264,0.0059,0.07898,0.00593,0.00235,2.72586,4.58705,2.51982,0.000165099,0.000165099,0.000165099
3,90.3306,2.59213,4.56001,2.1995,0.00504,0.12624,0.00412,0.00206,2.7808,4.58827,2.512,0.000248441,0.000248441,0.000248441
4,119.992,2.43593,4.25766,2.06387,0.0047,0.07898,0.00439,0.0024,2.84724,4.50433,2.42335,0.000330067,0.000330067,0.000330067
5,149.01,2.48217,4.20123,2.03555,0.00445,0.13173,0.00566,0.00201,2.8977,4.33887,2.43384,0.000409976,0.000409976,0.000409976
6,178.6,2.46203,3.98938,1.85583,0.00618,0.20737,0.00586,0.00147,2.7965,4.24059,2.3083,0.000488167,0.000488167,0.000488167
7,207.305,2.29456,3.76244,1.88571,0.5123,0.01648,0.00879,0.00221,2.6816,4.16881,2.21425,0.000564642,0.000564642,0.000564642
8,237.836,2.36539,3.81368,1.87551,0.51477,0.01374,0.00714,0.00225,2.62929,4.10639,2.22638,0.000620777,0.000620777,0.000620777
9,266.998,2.22848,3.70208,1.80561,0.52371,0.01236,0.00639,0.00193,2.57864,4.10265,2.22075,0.000614174,0.000614174,0.000614174
10,296.61,2.17212,3.83523,1.73089,0.53726,0.01236,0.00945,0.00275,2.60027,3.99239,2.225,0.00060757,0.00060757,0.00060757
11,326.697,2.20708,3.4057,1.77284,0.51425,0.01648,0.00729,0.0022,2.67495,4.12036,2.18158,0.000600967,0.000600967,0.000600967
12,356.208,2.17485,3.42673,1.73775,0.27271,0.01648,0.00864,0.00248,2.62868,3.91013,2.09468,0.000594364,0.000594364,0.000594364
13,386.022,2.17471,3.30851,1.77441,0.26679,0.0261,0.00961,0.00237,2.67849,3.83549,2.14782,0.00058776,0.00058776,0.00058776
14,415.357,2.15966,3.10269,1.76083,0.26022,0.08159,0.00663,0.00236,2.68593,3.99729,2.16533,0.000581157,0.000581157,0.000581157
15,446.059,2.16144,3.25768,1.77213,0.52706,0.00687,0.00549,0.00185,2.56509,4.03105,2.17851,0.000574554,0.000574554,0.000574554
16,476.475,2.11288,2.95185,1.72994,0.27619,0.00687,0.00549,0.00229,2.56442,4.01814,2.20758,0.00056795,0.00056795,0.00056795
